ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
SavedSearch,SavedSearchName,Saved Search Name,The name given to the search by the member inputting the saved search.,,String,,255,,,,Nombre de Búsqueda Guardada,Active,8ea3f1a,170002,,,No,,,7/21/2015,10/18/2014,,SavedSearchName Field,https://ddwiki.reso.org/display/DDW20/SavedSearchName+Field,1135495,,,
SavedSearch,SavedSearchType,Saved Search Type,"Determines if the saved search used to pass criteria is to be stored and executed by the client or if it is a key to be passed to the host for execution (i.e., Client Receives Criteria, Host Returns Listings). May be described at the record level with this field or at some other level of implementation to be determined by the RESO Research & Development Workgroup.",,"String List, Single",,50,,,,Tipo de Búsqueda Guardada,Active,3fb69d3,170004,Open,SavedSearchType,No,,,7/21/2015,10/18/2014,,SavedSearchType Field,https://ddwiki.reso.org/display/DDW20/SavedSearchType+Field,1135500,,,
SavedSearch,SearchQuery,Search Query,The textual representation of the search performed by the member that was saved. It is required to present in the OData $filter format. Additional formats are under review. See additional documentation for specific requirements for this field.,,String,,8000,,SearchCriteria,,Consulta de Búsqueda,Active,dc95643,170007,,,No,,,7/21/2015,4/16/2015,,SearchQuery Field,https://ddwiki.reso.org/display/DDW20/SearchQuery+Field,1135506,,,
SavedSearch,SearchQueryExceptionDetails,Search Query Exception Details,A free-text description used to expand on the SearchQueryExceptions selections made by the host.,,String,,255,,,,Detalles de Excepción de Consulta de Búsqueda,Active,3531707,170018,,,No,,,6/21/2016,8/15/2015,1.5.0,SearchQueryExceptionDetails Field,https://ddwiki.reso.org/display/DDW20/SearchQueryExceptionDetails+Field,1135512,,,
SavedSearch,SearchQueryExceptions,Search Query Exceptions,"A list of exceptions or errors with the given search query during its creation by the host. Analogous to an error code, this is the host's opportunity to describe an inability to fully express a saved search under the constraints of the given protocol (i.e., $filter). The client may use this information to bring attention to the user about a given saved search and a need to review or recreate the search.",,"String List, Single",,50,,,,Excepciones de Consulta de Búsqueda,Active,068a891,170017,Open,SearchQueryExceptions,No,,,6/21/2016,8/15/2015,1.5.0,SearchQueryExceptions Field,https://ddwiki.reso.org/display/DDW20/SearchQueryExceptions+Field,1135518,,,
SavedSearch,SearchQueryHumanReadable,Search Query Human Readable,"A human readable version of the search query that is commonly used for display and may not contain all actual criteria. For actual search criteria, use the SearchQuery field.",,String,,255,,,,Consulta de Búsqueda Legible para Humanos,Active,55d3971,170019,,,No,,,6/21/2016,11/18/2015,1.5.0,SearchQueryHumanReadable Field,https://ddwiki.reso.org/display/DDW20/SearchQueryHumanReadable+Field,1135524,,,
SavedSearch,SearchQueryType,Search Query Type,"A pick list of the type of query language used in the SearchQuery field (e.g., DMQL2, $filter).",,"String List, Single",,50,,,,Tipo de Consulta de Búsqueda,Active,b3de320,170008,Open,SearchQueryType,No,,,8/9/2017,6/2/2018,,SearchQueryType Field,https://ddwiki.reso.org/display/DDW20/SearchQueryType+Field,1135530,,,
SavedSearch,SourceSystem,Source System,The source system of the SavedSearch record.,,Resource,OUID,,,,,,Active,993a4e7,,,,No,,,1/6/2022,1/6/2022,1.7.0,SourceSystem Field (SavedSearch),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135537,1135537,SourceSystemID,OrganizationUniqueId,
SavedSearch,SourceSystemID,Source System ID,"The RESO Unique Organization Identifier (UOI) OrganizationUniqueId of the source record provider. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",,String,,25,,MLSID,,ID Sistema Fuente,Active,96f0c4a,170023,,,No,,,6/21/2016,2/18/2016,1.5.0,SourceSystemID Field (SavedSearch),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135542,1135542,,,
SavedSearch,SourceSystemKey,Source System Key,"The system key, a unique record identifier, from the source system. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",,String,,255,,ProviderKey,,Clave Sistema Fuente,Active,5d1b96f,170021,,,No,,,6/21/2016,2/18/2016,1.5.0,SourceSystemKey Field (SavedSearch),https://ddwiki.reso.org/pages/viewpage.action?pageId=1135549,1135549,,,
